solver,system,status,iterations,time_sec,residual,preconditioner,preconditioner_build_sec,matrix,family,scaling_method
CG,Unscaled,converged,3,0.0008457999997517,1.8707724670077107e-14,,0.0,A1_3x3,original,Unscaled
GMRES,Unscaled,converged,1,0.0021701000000575,0.0,ILU,0.0058577999998306,A1_3x3,original,Unscaled
CG,Unscaled,converged,1,0.0095423000002483,1.2625990704234373e-15,AMG,0.00020590000031,A1_3x3,original,Unscaled
CG,Unscaled,converged,1,0.0002207999996244,0.0,ICHOL_IC0,0.0001283999999941,A1_3x3,original,Unscaled
GMRES,Ruiz-LBFGS,converged,3,0.0007722999998804,2.8640832877442723e-16,,0.0,A1_3x3,original,Ruiz-LBFGS
GMRES,Ruiz-LBFGS,converged,1,0.0003513999999995,1.1692571059677194e-16,ILU,0.0001208999997288,A1_3x3,original,Ruiz-LBFGS
GMRES,Ruiz-LBFGS,converged,1,0.0007855999997445,7.951808021974644e-16,AMG,0.0001936999997269,A1_3x3,original,Ruiz-LBFGS
GMRES,Unscaled,converged,4,0.0009194999997816,1.7465823119432252e-14,,0.0,A2_4x4,original,Unscaled
GMRES,Unscaled,converged,1,0.0003263999997216,5.9787339602818175e-16,ILU,0.0001219000000673,A2_4x4,original,Unscaled
GMRES,Unscaled,converged,1,0.0007729000003564,6.101430607081221e-15,AMG,0.0001735999999255,A2_4x4,original,Unscaled
GMRES,Ruiz-LBFGS,converged,4,0.0007756999998491,5.82809136799896e-16,,0.0,A2_4x4,original,Ruiz-LBFGS
GMRES,Ruiz-LBFGS,converged,1,0.0002975000002152,4.956219970937533e-16,ILU,8.529999968232005e-05,A2_4x4,original,Ruiz-LBFGS
GMRES,Ruiz-LBFGS,converged,1,0.000698100000136,2.3274522745668416e-15,AMG,0.0001302999999097,A2_4x4,original,Ruiz-LBFGS
CG,Unscaled,converged,21,0.0013340000004973,2.982512997176452e-09,,0.0,Cauchy8,dense_structured,Unscaled
GMRES,Unscaled,converged,2,0.0005292999994708,1.6141929653985104e-11,ILU,0.0001774000002114,Cauchy8,dense_structured,Unscaled
CG,Unscaled,converged,2,0.0006364999999277,1.1454759913076484e-11,AMG,0.000229200000831,Cauchy8,dense_structured,Unscaled
CG,Unscaled,converged,2,0.0003440000000409,9.363821064641342e-12,ICHOL_IC0,0.0002889000006689,Cauchy8,dense_structured,Unscaled
GMRES,Ruiz-LBFGS,converged,8,0.0020481999999901,1.0214728307494208e-11,,0.0,Cauchy8,dense_structured,Ruiz-LBFGS
GMRES,Ruiz-LBFGS,converged,2,0.0005098999999972,1.661037016977167e-11,ILU,0.000176200000169,Cauchy8,dense_structured,Ruiz-LBFGS
GMRES,Ruiz-LBFGS,converged,4,0.0016214999996009,6.038704966588008e-12,AMG,0.0001824999999371,Cauchy8,dense_structured,Ruiz-LBFGS
CG,SparseOriginal,converged,25,0.0016349999996236,1.2870928097709677e-15,,0.0,FiniteDiff50,sparse_spd,Unscaled
GMRES,SparseOriginal,converged,1,0.0003883999997924,1.0112175573993642e-15,ILU,0.0001809000004868,FiniteDiff50,sparse_spd,Unscaled
CG,SparseOriginal,converged,5,0.0038112000002001,3.345307002320355e-10,AMG,0.0119635999999445,FiniteDiff50,sparse_spd,Unscaled
CG,SparseOriginal,converged,1,0.0003462999993644,1.1343850103213525e-15,ICHOL_IC0,0.0009435000001758,FiniteDiff50,sparse_spd,Unscaled
CG,Unscaled,converged,62,0.0034235000002809,1.39665602640725e-09,,0.0,Hilbert10,dense_structured,Unscaled
GMRES,Unscaled,converged,2,0.0005226999992373,9.6279368592208e-11,ILU,0.0001572999999552,Hilbert10,dense_structured,Unscaled
CG,Unscaled,converged,2,0.0006252000002859,1.5662755739285683e-10,AMG,0.0001784999994924,Hilbert10,dense_structured,Unscaled
